Code departement,Code postal,Commune
1,1370,VAL-REVERMONT
1,1290,BEY
1,1310,BUELLAS
1,1250,MONTAGNAT
1,1250,CORVEISSIAT
1,1000,SAINT-DENIS-LES-BOURG
1,1310,MONTCET
1,1340,FOISSIAT
1,1310,POLLIAT
1,1960,PERONNAS
1,1250,JASSERON
1,1160,DRUILLAT
1,1750,SAINT-LAURENT-SUR-SAONE
1,1570,FEILLENS
1,1240,DOMPIERRE-SUR-VEYLE
1,1000,BOURG-EN-BRESSE
1,1440,VIRIAT
1,1370,SAINT-ETIENNE-DU-BOIS
1,1310,MONTRACOL
1,1270,PIRAJOUX
1,1851,MARBOZ
1,1270,COLIGNY
1,1250,HAUTECOURT-ROMANECHE
1,1340,BRESSE VALLONS
1,1250,REVONNAS
1,1290,CORMORANCHE-SUR-SAONE
1,1190,CHAVANNES-SUR-REYSSOUZE
1,1290,CROTTET
1,1750,REPLONGES
1,1560,SAINT-TRIVIER-DE-COURTES
1,1160,PONT-D AIN
1,1560,LESCHEROUX
1,1370,MEILLONNAS
1,1250,CEYZERIAT
1,1160,PRIAY
1,1560,CURCIAT-DONGALON
1,1560,VERNOUX
1,1340,JAYAT
1,1340,MONTREVEL-EN-BRESSE
1,1380,SAINT-CYR-SUR-MENTHON
1,1250,BOHAS-MEYRIAT-RIGNAT
1,1540,PERREX
1,1190,OZAN
1,1160,SAINT-MARTIN-DU-MONT
1,1750,CROTTET
1,1380,BAGE-DOMMARTIN
1,1560,CORMOZ
1,1290,PONT-DE-VEYLE
1,1290,GRIEGES
1,1270,BEAUPONT
1,1560,MANTENAY-MONTLIN
1,1310,CONFRANCON
1,1340,SAINT-DIDIER-D AUSSIAT
1,1380,SAINT-GENIS-SUR-MENTHON
1,1340,SAINT-SULPICE
1,1340,ATTIGNAT
1,1370,BENY
1,1290,CRUZILLES-LES-MEPILLAT
1,1190,BOISSEY
1,1190,PONT-DE-VAUX
1,1560,SAINT-JEAN-SUR-REYSSOUZE
1,1190,ARBIGNY
1,1290,LAIZ
1,1250,NIVIGNE ET SURAN
1,1310,SAINT-REMY
1,1250,TOSSIAT
1,1380,SAINT-ANDRE-DE-BAGE
1,1570,MANZIAT
1,1250,DROM
1,1560,SAINT-JULIEN-SUR-REYSSOUZE
1,1240,LENT
1,1290,SAINT-JEAN-SUR-VEYLE
1,1240,CERTINES
1,1250,JOURNANS
1,1270,SALAVRE
1,1560,SERVIGNAT
1,1190,REYSSOUZE
1,1370,COURMANGOUX
1,1570,ASNIERES-SUR-SAONE
1,1190,SAINT-BENIGNE
1,1190,SERMOYER
1,1310,CURTAFOND
1,1250,SAINT-JUST
1,1960,SAINT-ANDRE-SUR-VIEUX-JONC
1,1310,SAINT-MARTIN-LE-CHATEL
1,1270,VILLEMOTIER
1,1340,MALAFRETAZ
1,1270,DOMSURE
1,1190,ST ETIENNE-SUR-REYSSOUZE
1,1160,NEUVILLE-SUR-AIN
1,1160,VARAMBON
1,1250,CIZE
1,1960,SERVAS
1,1560,VESCOURS
1,1380,BAGE-LE-CHATEL
1,1340,MARSONNAS
1,1190,BOZ
1,1190,CHEVROUX
1,1270,VERJON
1,1250,GRAND-CORENT
1,1560,SAINT-NIZIER-LE-BOUCHOUX
1,1290,SAINT-ANDRE-D HUIRIAT
1,1250,VILLEREVERSURE
1,1190,GORREVOD
1,1250,POUILLAT
1,1340,BEREZIAT
1,1250,RAMASSE
